lang_id	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
1226	Discount Level	Rabatt nivå	Nivel del Descuento	Nivel del Descuento		Kortingsniveau		Niveau de remise	Niveau de remise				Уровень скидки				Επίπεδο έκπτωσης		Alavanc do Desconto	Nível de desconto	مستوى الحسم	Rabat nivaue	İndirim Düzeyi			Livello di sconto			dummy
1227	Discount Percentage		porcentajes de descuento	porcentajes de descuento		Percentage korting		Taux de remise	Taux de remise				Процент скидки				Ποσοστό Εκπτωσης				نسبة الحسم		İndirim Yüzdesi			Percentuale di sconto			dummy
1228	Discounts as Monetary Amounts		descuentos como montos monetarios	descuentos como montos monetarios		Korting in geldwaarde		Réductions au montant en numéraire	Réductions au montant en numéraire								Εκπτώσεις σε ποσότητα νομίσματος				نسبة الحسم النقدي		Parasal Miktar olarak İndirimler						dummy
1229	Discounts at checkout time are entered as money amounts, as opposed to percentage.		Descuentos a la hora de salida se introducen como cantidades de dinero, a diferencia de porcentaje.	Descuentos a la hora de salida se introducen como cantidades de dinero, a diferencia de porcentaje.		Kortingen gegeven bij uitchecken worden genoteerd als geldswaarde, i.t.t. percentages.		Réductions au moment du contrôle sont entrés comme montants, par opposition au pourcentage.	Réductions au moment du contrôle sont entrés comme montants, par opposition au pourcentage.								Οι εκπτώσεις την ώρα της αποχώρησης εισάγονται σε ποσά χρήματος, σε αντίθεση με το ποσοστό.				الحسم النقدي  عند الخروج مقابل النسبة المئوية 		Çıkış zamanında indirimler yüzde olarak değil para miktarı olarak girilir.						dummy
1230	Discrete Result		Resultado discreto	Resultado discreto		Discreet resultaat		Résultat discret	Résultat discret								Διακριτό Αποτέλεσμα				نتيجة سرية		Ayrık Sonuç						dummy
1231	Disease	Sjukdom	Enfermedad	Enfermedad	Erkrankung	Ziekte		Maladie	Maladie				Болезнь				Νόσος		Doença	Doença	المرض	Sygdom	Hastalık			Malattia			dummy
1232	Dislocation	Förskjutning	Dislocación	Dislocación	Dislokation	Dislocatie		Luxation	Luxation		脱位					Dislokasi	Εξάρθρωμα		Luxação	Luxação	الخلع	Forskydning	Çıkık			Dislocazione			dummy
1233	Disp #	Antal:	# Disp	# Disp		Disp #											Αριθ.αποστ		Disp #	Disp #	# اصرف	Antal:	Sevk No						dummy
1234	Dispatch	Skicka i väg	Informe	Informe		Lever af		Expédition	Expédition		调度					Dispatch	Αποστολή 		Despachado	Expedição	وزع الوثيقة المتلقية	Afsendelse	Sevk						dummy
1235	Dispatch Received Document	Skicka mottagna dokument	Remitir documento recibido	Remitir documento recibido		Lever ontvangen document af		Expédition document reçu	Expédition document reçu		调度收稿文件					Dispatch Dokumen Diterima	Έγγραφό λήψης αποστολής 		Expedição do documento recebido	Expedição do documento recebido	المصروف	Afsendt modtagne dokumenter	Alınan Belgelerin Dağıtımı						dummy
1236	Dispensed	Dispenseras	Prescrito	Prescrito		Afgegeven		Distribué	Distribué		配药					Dispensed	Παραλείπεται 		Dispensado	Dispensada		Dispenseras	Reçete edilmiş						dummy
1237	Display advance directives in the demographics page.		Mostrar las directivas anticipadas en la página de la demografía.	Mostrar las directivas anticipadas en la página de la demografía.		Toon advance directives in de Demografische Pagina.		Afficher les pré-arrangements dans l\'écran démographie	Afficher les pré-arrangements dans l\'écran démographie								Εμφάνιση προηγμένων οδηγιών στη σελίδα δημογραφικών.						İleri direktifler ve demografik bilgiler sayfasını göster.						dummy
1238	Display event dates in block?	Visa händelsedatum i blocket?	¿Mostrar fechas de eventos en bloque?	¿Mostrar fechas de eventos en bloque?		Data gebeurtenissen in blok tonen?		Afficher les dates d\'évènements dans le bloc?	Afficher les dates d\'évènements dans le bloc?		展示活动日期块？		Отлбражать даты событий в блоке?			Menampilkan tanggal dalam acara blok?	Εμφάνιση ημερομ. συμβάντων στο block;		Datas de eventos de exibição em bloco?	Mostrar datas de eventos em bloco?		Vis dato for begivenheder i blokke?	Olay tarihleri blok olarak gösterilsin mi?						dummy
1239	Display how many events?	Visa hur många händelser?	¿Mostrar cuántos eventos?	¿Mostrar cuántos eventos?		Hoeveelheid gebeurtenissen tonen?		Afficher combien d\'évènements	Afficher combien d\'évènements		显示多少个活动？					Menampilkan berapa banyak acara?	Πόσα συμβάντα να εμφανιστούν;		Mostrar quantos eventos?	Mostrar quantos eventos?		Hvor mange begivenheder skal vises?	Kaç olay gösterilsin			Mostrare quanti eventi?			dummy
1240	Display location in block?	Visa plats i blocket?	¿Mostrar lugar/sitio en bloque?	¿Mostrar lugar/sitio en bloque?		Locatie in blok tonen?					显示位置块？					Menampilkan lokasi di blok?	Εμφάνιση θέσης στο block;		Mostrar localização em bloco?	Local de exibição no bloco?		Vis lokationer i blokke?	Yer blok içerisinde gösterilsin mi?						dummy
1241	Display Name					Naam tonen		Afficher le nom	Afficher le nom				Показать Имя									Vis navn	Görünen Ad			Mostrare il nome			dummy
1242	Display the calendar?	Visa kalender?	¿Mostrar el calendario?	¿Mostrar el calendario?		De agenda tonen?		Afficher le calendrier?	Afficher le calendrier?	Viss kalenderen?	显示日历？		Отображать календарь?			Menampilkan kalender?	Εμφάνιση ημερολογίου;		Mostrar calendário?	Mostrar o calendário?		Vis kalender?	Takvim gösterilsin mi?			Mostrare l\'agenda?			dummy
1243	Display today\'s events in the block?	Display dagens händelser i blocket?	¿Mostrar los eventos de hoy en la tabla?	¿Mostrar los eventos de hoy en la tabla?		Gebeurtenissen van vandaag in blok tonen?		Afficher dans le bloc les évènements du jour?	Afficher dans le bloc les évènements du jour?		显示今天的事件块？		Отображать сегодняшние события в блоке?			Tampilan hari ini acara di blok?	Εμφάνιση σημερινών συμβάντων στο block;		Mostrar eventos de hoje em bloco?	Mostra os eventos de hoje no bloco?		Vis dagens begivenheder i blokken?	Bugünkü olaylar blokta gösterilsin mi?			Mostro gli eventi di oggi nel blocco?			dummy
1244	Display topic in block?	Visa ämne i blocket?	¿Mostrar tema en tabla?	¿Mostrar tema en tabla?		Onderwerp in blok tonen?		Afficher dans le bloc les sujets?	Afficher dans le bloc les sujets?		显示话题块？					Tampilkan topik di blok?	Εμφάνιση συμβάντος σε block;		Mostrar tópico em bloco?	Mostrar o tópico no bloco?		Vis emne i blokke?	Konu blokta gösterilsin mi?			Mostro l\'argomento nel blocco			dummy
1245	Display upcoming events in block?	Visa kommande händelser i blocket?	¿Mostrar los eventos próximos en tabla?	¿Mostrar los eventos próximos en tabla?		Komende gebeurtenissen in blok tonen?		Afficher dans le bloc les évènements à venir?	Afficher dans le bloc les évènements à venir?		即将举行的活动中显示块？					Menampilkan acara mendatang di blok?	Εμφάνιση επερχόμενων συμβάντων στο block;		Mostrar eventos futuros em bloco?	Mostrar eventos programados no bloco?		Vis kommende begivenheder i blokke?	Gelecek olaylar blokta gösterilsin mi?			Mostro i prossimi appuntamenti nel blocco?			dummy
1246	Displayed Columns		Mostrar columnas	Mostrar columnas		Weergegeven kolommen		Colonnes visibles	Colonnes visibles				Показать колонки				Εμφανιζόμενες Στήλες					Vis kolonner	Gösterilen Sütunlar			Colonne mostrate			dummy
1247	Displaying the following number of most recent disclosures:		Viendo el siguiente número de la mayoría de las recientes revelaciones:	Viendo el siguiente número de la mayoría de las recientes revelaciones:		De meest recente disclosures worden getoond		Passer au numéro suivant de la liste des divulgations récentes:	Passer au numéro suivant de la liste des divulgations récentes:								Εμφάνιση του ακόλουθου αριθμού των πιο πρόσφατων Γνωστοποιήσεων:		A mostrar o número de informação mais recentes:				En son aşağıdaki sayıda açıklama gösteriliyor			Sto mostrando il seguente numero di informative più recenti:			dummy
1248	Displaying the following number of most recent notes					Toon het volgende nummer van recente notities		Passer au numéro suivant de la liste de notes récentes:	Passer au numéro suivant de la liste de notes récentes:														Aşağıdaki sayıda en yeni notlar gösterilmektedir			Sto mostrando il seguente numero di note più recenti			dummy
1249	Displaying the following number of most recent notes:		Mostrando el siguiente número de las notas más recientes:	Mostrando el siguiente número de las notas más recientes:		Toon het vervolg nummer van recente notes		Passer au numéro suivant de la liste de notes récentes	Passer au numéro suivant de la liste de notes récentes								Εμφάνιση του ακόλουθου αριθμού των πιο πρόσφατων Σημειώσεων:		A mostrar o número de notas mais recentes:				En son notlardan izleyen sayıda olanlar gösteriliyor:			Sto mostrando il seguente numero di note più recenti:			dummy
1250	Distribution	Distrubition	Distribución	Distribución		Verdeling		Distribution	Distribution		分布		Распределение			Distribusi	Κατανομή		Distribuição	Distribuição	التوزع	Distrubition	Dağılım			Distribuzione			dummy
1251	Distributions		Distribuciones	Distribuciones		Verdeling		Distributions	Distributions				Распределения				Κατανομές		Distribuições				Dağılımlar			Distribuzioni			dummy
1252	Distributor		Distribuidor	Distribuidor		Distributeur		Distributeur	Distributeur				!#Поставщик				Διανομέας		Distribuidor				Dağıtıcı			Distributore			dummy
1253	Diverticulitis	Divertikulit	Diverticulitis	Diverticulitis	Divertikulitis	Diverticulitis		Sigmoïdite	Sigmoïdite		憩室炎					Diverticulitis	Εκκολπωματίτιδα 		Diverticulitis	Diverticulite	التهاب الرتوج	Divertikulit	Divertikülit 			Diverticolite			dummy
1254	Diverticulitis Surgery	Diverticulitis Kirurgi	Operación de Diverticulitis	Operación de Diverticulitis	Divertikulitis-Chirurgie	Diverticulitis chirurgie		Chirurgie pour diverticulite	Chirurgie pour diverticulite		憩室炎手术					Diverticulitis Bedah	Εγχείρηση εκκολπωματίτιδας		Cirúrgia de Diverticulite	Diverticulite Cirurgia	جراحة الرتوج	Diverticulitis Kirurgi	Divertikülit Cerrahisi			Intervento per diverticolite			dummy
1255	Divirticulitis	Divertikulit	Diverticulitis	Diverticulitis	Divertikulitis	Diverticulitis		Diverticulite	Diverticulite		Divirticulitis					Divirticulitis	Εκκολπωματίτιδα 		Diverticulite	Divirticulitis		Divertikulit	Divertikülitis			Diverticolite			dummy
1256	Divirticulitis Surgery	Divertikulit Kirurgi	Operación de Diverticulitis	Operación de Diverticulitis		Diverticulitis chirurgie		Chirurgie pour diverticulite	Chirurgie pour diverticulite		Divirticulitis手术					Divirticulitis Bedah	Εγχείρηση εκκολπωματίτιδας		Cirúrgia de Diverticulite	Divirticulitis Cirurgia		Divertikulit Kirurgi	Divertikülitis Cerrahisi			Intervento per diverticolite			dummy
1257	Divorced	Skild	Divorciado	Divorciado	Geschieden	Gescheiden		Divorcé	Divorcé		离婚					Bercerai	Διεζευγμένος/η		Divorciado(a)	Divorciado	مطلق	Skilt	Boşanmış			Divorziato(a)			dummy
1258	Dizziness:	Yrsel:	Mareo:	Mareo:		Duizeligheid		Vertiges:	Vertiges:	Svimmelhet:	头晕：					Pusing:	Ζάλη: 		Vertigem:	Tonturas:	الدوخة	Svimmelhed	Baş dönmesi			Vertigini:			dummy
1259	Do not change		No cambiar	No cambiar		Niet veranderen		Ne pas modifier	Ne pas modifier				Не менять				Μη το τροποποιήσετε		Não alterar			Må ikke ændres	Değiştirmeyiniz			Non cambiare			dummy
1260	Do not display the calendar.		No mostrar el calendario	No mostrar el calendario		Kalender niet tonen		Ne pas afficher le calendrier.	Ne pas afficher le calendrier.				Не показывать календарь.				Να μην εμφανίζεται το ημερολόγιο.		Não mostrar no calendário.			Vis ikke kalenderen	Takvimi göstermeyiniz			Non mostrare il calendario			dummy
1261	Do not inventory and sell any products		No inventariar y vender nigun producto	No inventariar y vender nigun producto		Geen inventaris en verkoop van andere producten		Pas d\'inventaire et vente de produits	Pas d\'inventaire et vente de produits								Μην κάνετε απογραφή ούτε πώληση οποιωνδήποτε προϊόντων		Não inventariar e vender produtos				Hiçbir ürünün envanterini çıkartmayınız ve satmayınız.			Non mettere in inventario o vendere alcun prodotto			dummy
1262	Do not require patient notes to be authorized		No requiere notas del paciente para ser autorizado	No requiere notas del paciente para ser autorizado		Het is niet nodig dat Patient aantekeningen geautoriseerd worden		Ne nécessite pas une autorisation écrite du patient	Ne nécessite pas une autorisation écrite du patient								Μην απαιτείτε εξουσιοδότηση για τις σημειώσεις ασθενούς		Não exigir autorização das notas dos utentes				Hasta notlarına yetkilendirme istemeyiniz.			Non è richiesto che le note siano autorizzate			dummy
1263	Do Not Resuscitate Order		No recuperar la orden	No recuperar la orden		Uitdrukkelijke wens GEEN REANIMATIE		Prescription de non-réanimation	Prescription de non-réanimation								Εντολή για Μη Ανάνηψη		Ordem de Não Ressuscitar		توصية آمرة: لاتقم بالإنعاش		Resisüte Edilmeyecek Orderi			Non riesumare l\'ordine			dummy
1264	do not save	spara inte	no guardar	no guardar	nicht speichern	niet bewaren		ne pas enregistrer	ne pas enregistrer	ikke lagre	不保存		не сохранять			tidak menyimpan	να μην αποθηκευθεί		não guardar	não guarde	لا تحفظ	Må ikke gemmes	kaydetmeyiniz			non salvare			dummy
1265	do not substitute	ersätt inte	no sustituir	no sustituir	nicht ersetzen	niet vervangen		ne pas substituer	ne pas substituer	ikke bytt ut	不替代		не заменять			tidak menggantikan	να μην υποκατασταθεί		não substituir	Não substitua	لا تستبدل الأدوية - اصرف الدواء حسب ما هو مكتوب حرفيا	Må ikke erstattes	yerine koymayınız			non sostituire			dummy
1266	do nothing		no actuar	no actuar		doe niets		ne rien faire	ne rien faire				ничего не делать				καμία ενέργεια		não executar		لا تفعل أي شيئ	Gør intet	hiçbir şey yapmayınız			non fare nulla			dummy
1267	Do you really want to delete		De verdad quiere suprimir?	De verdad quiere suprimir?		Wilt u dit echt veerwijderen		Voulez-vous vraiment supprimer	Voulez-vous vraiment supprimer				Вы действительно хотите удалить				Αλήθεια θέλετε να διαγραφεί		Confirma a eliminação			Er du sikker på du vil slette?	Gerçekten silmek istiyor musunuz?			Vuoi veramente eliminare			dummy
1268	Do you really want to delete the selection?		¿Verdaderamente Desea borrar la seleccion?	¿Verdaderamente Desea borrar la seleccion?		Wilt u zeker deze selectie verwijderen?		Voulez-vous vraiment supprimer la sélection?	Voulez-vous vraiment supprimer la sélection?				Вы действительно хотите удалить выбранное?				Αλήθεια θέλετε να διαγραφεί η επιλογή;		Confirma a eliminação da selecção?			Er du sikker på du vil slette det valgte?	Seçili kısmı gerçekten silmek istiyor musunuz?			Vuoi veramente eliminare la selezione?			dummy
1269	Do you really want to delete this group	Vill du verkligen ta bort den här gruppen	Estás seguro que quieres eliminar este grupo	Estás seguro que quieres eliminar este grupo		Wilt u zeker deze groep verwijderen?		Voulez-vous vraiment supprimer ce groupe	Voulez-vous vraiment supprimer ce groupe	Vil du virkelig slette denne gruppen	你真的要删除此组		Вы действительно хотите удалить эту группу			Apakah Anda benar-benar ingin menghapus grup ini	Αλήθεια θέλετε να διαγραφεί η ομάδα		Confirma a eliminação do grupo	Você realmente quer apagar este grupo	هل تريد حذف هذه المجموعة؟	Vil du virkelig slette dene gruppe?	Bu grubu gerçekten silmek istiyor musunuz?			Vuoi veramente eliminare questo gruppo			dummy
1270	Do you want to continue?					Wilt U doorgaan?		Voulez-vous continuer?	Voulez-vous continuer?				Продолжить?						Deseja continuar ?		هل تريد أن تستمر؟	Vil du fortsætte?	Devan etmek istiyor musunuz?			Vuoi continuare?			dummy
1271	Do you want to delete this?					Wilt U dit verwijderen?		Voulez-vous supprimer cet élément?	Voulez-vous supprimer cet élément?				Удалить это?						Deseja eliminar isto ?		هل تريد أن تحذف هذا؟	Vil du slette dette?	Bunu silmek istiyor musunuz?			Vuoi eliminare questo?			dummy
1272	Do you want to delete?					Verwijderen?		Voulez-vous supprimer?	Voulez-vous supprimer?				Удалить?						Deseja eliminar?		هل تريد أن تحذف؟	Vil du slette?	Silmek istiyor musunuz?			Vuoi eliminare?			dummy
1273	Do you want to remove this record?		¿Desea remover este registro?	¿Desea remover este registro?		Wil je deze status verwijderen?		Voulez-vous supprimer cet enregistrement?	Voulez-vous supprimer cet enregistrement?				Удалить эту запись?				Επιθυμείτε να αφαιρέσετε αυτήν την εγγραφή;		Confirma a eliminação do registo?		هل تريد أن تزيل هذا السجل؟	Vil du fjerne denne optagelse?	Bu kaydı silmek istiyor musunuz?			Vuoi rimuovere questo record?			dummy
1274	Do you wish to continue adding this new patient?	Vill du fortsätta att lägga till den nya patienten?	¿Desea continuar agregando este nuevo paciente?	¿Desea continuar agregando este nuevo paciente?		Wilt u doorgaan met deze nieuwe client toe te voegen?		Vous désirez continuer l\'ajout de ce nouveau patient?	Vous désirez continuer l\'ajout de ce nouveau patient?				Продолжить добавление нового пациента?				Επιθυμείτε να συνεχίσετε την προσθήκη του νέου ασθενούς;		Deseja continuar a criar este novo utente?	Deseja continuar a adicionar este novo paciente?	هل تريد الاستمرار في إضافة هذا المريض الجديد؟	Vil du fortsætte tilføjelsen af denne patient	Bu yeni hastayı eklemeye gerçekten devam etmek istiyor musunuz?			Vuoi continuare ad aggiungere questo paziente?			dummy
1275	Do you wish to continue with the new name?	Vill du fortsätta med det nya namnet?	¿Usted desea continuar con el nuevo nombre?	¿Usted desea continuar con el nuevo nombre?		Wilt u verder gaan met de nieuwe naam?		Vous désirez continuer sous le nouveau nom?	Vous désirez continuer sous le nouveau nom?								Επιθυμείτε να συνεχίσετε με το νέο όνομα;		Deseja continuar com o nome novo?	Deseja continuar com o novo nome?	هل تريد الاستمرار في الاسم الجديد؟	Vil du fortsætte med det nye navn?	Yeni isim ile devam etmek istiyor musunuz?			Vuoi continuare con il nuovo nome?			dummy
1276	Do you wish to PERMANENTLY delete this immunization record?		¿Usted desea suprimir PERMANENTEMENTE este expediente de la inmunización?	¿Usted desea suprimir PERMANENTEMENTE este expediente de la inmunización?		WIlt u dit immunisatie verslag PERMANENT verwijderen?		Vous désirez supprimer DEFINITIVEMENT ce dossier de vaccination?	Vous désirez supprimer DEFINITIVEMENT ce dossier de vaccination?								Είστε σίγουροι ότι θέλετε να διαγραφεί ΜΟΝΙΜΑ αυτή η καταχώρηση εμβολιασμού;	Do you wish to PERMANENTLY delete this immunisation record?	Deseja eliminar PERMANENTEMENTE este registo de vacinação?	Deseja excluir permanentemente esta recorde de Vacinação?	هل تريد الحذف النهائي لهذا السجل الخاص باللقاحات؟		Bu aşılama kaydını gerçekten KALICI OLARAK silmek istiyor musunuz?			Vuoi eliminare DEFINITIVAMENTE questa registrazione di immunizzazione?			dummy
1277	DOB	Födelsedatum	Fecha de nacimiento	Fecha de nacimiento		GEB		DDN			出生日期		День рождения			DOB	Ημερ. Γενν.		D. Nascimento	Data de nascimento	تاريخ الولادة	Fødselsdato	Doğum Tarihi	Data ur.		DN			dummy
1278	DOB is missing, please enter if possible	Födelsedatum saknas, ange om möjligt	Falta fecha de nacimiento, por favor insertarla al ser posible	Falta fecha de nacimiento, por favor insertarla al ser posible		Geb datum niet ingevuld		La date des naissance est manquante, fournir si disponible	La date des naissance est manquante, fournir si disponible	DOB mangler, Skriv in hvis mulig	出生日期丢失，请输入可能的话		День рождения не указан, укажите по возможности			DOB tersebut tidak ada, jika memungkinkan masukkan	Λείπει η Ημερ. Γενν. Αν μπορείτε εισάγετέ την		Data de nascimento em falta	Data de nascimento está faltando, entre se possível	تاريخ الولادة مفقود، الرجاء إدخاله	Fødseldato mangler, udfyld hvis mulig	Doğum Tarihi eksik mümkünse giriniz	Data ur. niedostępna, jeśli to możliwe proszę wprowadź		DN mancante, se possibile inseriscila			dummy
1279	Docs	Dokument	Documentos	Documentos		Docs		Documents	Documents		文件					Docs	Έγγραφα		Docs	Médicos	المستندات	Dokument	Doktorlar			Doc.ti			dummy
1280	Doctor		Médico	Médico		Dokter		Médecin	Médecin				Врач				Ιατρός		Médico	Médico	الطبيب	Læge	Doktor 			Dottore			dummy
1281	Doctor:	Läkare:	Médico:	Médico:		Dr:		Médecin:	Médecin:	Doktor:	医生：		Врач:			Dokter:	Ιατρός:		Médico:	Médico:	الطبيب الدكتور	Læge:	Doktor:			Dottore:			dummy
1282	Doctor\'s name and signature	Läkares namn och underskrift	Nombre del médico y la firma	Nombre del médico y la firma		Naam en handtekening Arts		Nom du médecin et signature	Nom du médecin et signature				Имя и подпись врача				Όνομα και Υπογραφή Ιατρού		Nome do médico e assinatura	Nome do médico e assinatura	اسم وتوقيع الطبيب	Læges navn og underskrift	Doktorun adı ve imzası	Nazwisko i podpis lekarza		Nome del dottore e firma			dummy
1283	Document	Dokument	Documento	Documento	Dokument	Document		Document	Document	Dokument	文件		Документ			Dokumen	Έγγραφο 		Documento	Documento	المستند	Dokument	Belge	Dokument		Documento			dummy
1284	document	dokument	documento	documento	Dokument	document		document	document				документ				εγγραφο 		documento	documento	المستند	dokument	belge	dokument		documento			dummy
1285	Document Categories	Dokument Kategorier	Categorías documento	Categorías documento	Dokumenten-Kategorie	Document categorieen		Catégories document	Catégories document	Dokument Kategori	文件分类					Kategori dokumen	Κατηγορίες Εγγράφων 		Categorias dos Documentos	Documento Categorias	مجموعات المستندات	Dokument Kategorier	Belge Kategorileri	Kategorie dokumentu		Categorie documenti			dummy
1286	Document could not be moved to patient id	Dokument kan inte flyttas till patienten id 	El documento no ha podido ser trasladado a la identificación del paciente	El documento no ha podido ser trasladado a la identificación del paciente		Document kon niet naar Client ID verplaatst worden		Document ne peut être attaché à l\'identification du patient	Document ne peut être attaché à l\'identification du patient								Το εγγραφο δεν μπορει να μεταφερθει στον κωδικό ασθενούς		Documento não pode ser movido para o id utente	O documento não poderia ser transferido para identificação do paciente	لم يتم نقل المستند إلى ملف المريض	Dokumentet kunne ikke flyttes til Patient ID	Belge hasta id sine transfer edilemedi			Il documento non può essere spostato al paziente con id			dummy
1287	Document Date	Dokument Datum	Fecha de documento	Fecha de documento		Datum van document		Date du document	Date du document	Dokumentasjons Dato	文件日期					Tanggal Dokumen	Ημερομ. εγγράφου 		Data do Documento	Data do documento	تاريخ المستند	Dokument dato	Belge Tarihi			Data del documento			dummy
1288	Document date and issue updated successfully	Dokumentets datum och utförande uppdaterats 	Fecha y edición del documento actualizadas con éxito	Fecha y edición del documento actualizadas con éxito		Datum van document en klachten aangepast		Date et version du document modifiés avec succès	Date et version du document modifiés avec succès								Η ημερομηνία και το θέμα του εγγράφου ενημερωθηκαν επιτυχως		Data do documento e assunto actualizados	Documento data de emissão e atualizado com sucesso	تم تحديث التاريخ و المشكلة	Dokumentets datum och utförande uppdaterats 	Belge tarih ve konusu başarıyla güncellendi			Data del documento e Informativa aggiornata con successo			dummy
1289	Document ID		Documento de Identificacion	Documento de Identificacion		DocumentID		Nº du document	Nº du document								ID Εγγράφου		ID do Documento		رقم المستند		Belge ID			ID del documento			dummy
1290	Document moved to new category	Dokument är flyttat till ny kategori	Documento se trasladó a nueva categoría	Documento se trasladó a nueva categoría		Ducument verzet naar nieuwe categorie		Document déplacé vers la nouvelle catégorie	Document déplacé vers la nouvelle catégorie								Το έγγραφο μεταφέρθηκε σε νέα κατηγορία		Documento movido para nova categória	Documento mudou-se para nova categoria	تم نقل المستند إلى مجموعة جديدة	Dokumentet er flyttet til ny kategori	Belge yeni bir kategoriye taşındı			Documento spostato alla nuova categoria			dummy
1291	Document moved to patient id	Dokument är flyttat till patienten id	Documento de identificación del paciente se trasladó a	Documento de identificación del paciente se trasladó a		Dokument verzet naar patient ID		Document attaché à l\'identification du patient	Document attaché à l\'identification du patient								Το έγγραφο μεταφέρθηκε στον κωδικό ασθενούς		Documento movido para o id do utente	Documento mudou-se para identificação do paciente	تم نقل المستند إلى ملف المريض	Dokumentet er flyttet til patient ID	Belge hasta id sine transfer edildi 			Documento spostato al paziente con id			dummy
1292	Document passed integrity check.					Document is geaccepteerd door security check		Vérification d\'intégrité du Document passé.	Vérification d\'intégrité du Document passé.												المستند سليم		Belge bütünlük kontrolünü geçti.			Il documento ha superato il controllo di integrità			dummy
1293	Document successfully renamed.					Document met succes van naam verandert		Document renommé avec succès.	Document renommé avec succès.												إعادة التسمية ناجحة	Dokumentet er gendøbt	Belge/Resim Saklama			Il documento è stato rinominato con successo.			dummy
1294	Document/Imaging Store	Dokument/avbildning lagrad	Documento / Imágenes de tiendas	Documento / Imágenes de tiendas		Bewaarplaats van document/afbeelding		Lieu Document/Imagerie 	Lieu Document/Imagerie 		文件/影像店					Dokumen / Olahgmbar Kedai	Αποθήκ. Εγγράφου/ Εικόνας		Guarda Documento/Imagem	Documento / Imagem Armazenada	مستودع المستندات/الصور	Dokument/billede lager	Belge/Görüntüleme Saklanması						dummy
1295	Documents	Dokument	Documentos	Documentos		Documenten		Documents	Documents	Dokumenter	文件		Документы			Dokumen	Έγγραφα		Documentos	Documentos	المستدات (كتابة) اختيارية	Dokumenter	Belgeler			Documenti			dummy
1296	Documents (write,addonly optional)	Dokument (skriva, tilllägg frivilligt)	Documentos (escribir, addonly opcional)	Documentos (escribir, addonly opcional)		Documenten (schrijven,toevoegen optioneel)		Documents (écriture, addonly optionnel)	Documents (écriture, addonly optionnel)								Έγγραφα (εγγραφή, προαιρετ. προσθήκη)		Documentos (escrever opcionalmente)	Documentos (escrever, adicionar opcional)			Belgeler (yaz, sadece ekle seçmeli)			Documenti (scrittura solo-aggiunte opzionali)			dummy
1297	DOE	DOE	DOE	DOE		DOE		Date d\'entrée	Date d\'entrée								Ημερομ. Εισαγ.		DOE	DOE	ضيق النفس الجهدي	DOE	DOE						dummy
1298	Does this type allow related codes?		¿Este tipo permite codigos relacionados?	¿Este tipo permite codigos relacionados?		Zijn er gerelateerde codes voor dit type toegestaan?											Αυτός ο τύπος επιτρέπει σχετικούς κωδικούς;						Bu tip ilgili kodlara izin veriyor mu?			Questo tipo consente codici correlati?			dummy
1299	Domestic Partner	Inrikes Partner 	Socio doméstico	Socio doméstico		Samenwonend					国内伙伴					Mitra domestik	Συζεί		Relação Estável	Relação Estável	شريك في العيش	Indenlandsk partner	Ev Arkadaşı			Convivente			dummy
1300	Don't Save	Spara inte	No Guardar	No Guardar	Nicht speichern	Niet bewaren		Ne pas sauvegarder	Ne pas sauvegarder				Не сохранять				Να μην αποθηκευθεί		Não guardar	Não salvar	لا تحفظ	Gem ikke	Kaydetme 			Non salvare			dummy
1301	Don\'t Save	Spara inte	No Guardar	No Guardar	Nicht speichern	Niet bewaren		Ne pas sauvegarder	Ne pas sauvegarder	Ikke lagre	不要保存		Не сохранять			Jangan Simpan	Να μην αποθηκευθεί		Não guardar	Não salvar	لا تحفظ	Gem ikke	Kaydetme			Non salvare			dummy
1302	Don\'t Save Changes	Spara inte	No Guardar Cambios	No Guardar Cambios	Änderungen nicht speichern	Wijzigingen niet bewaren		Ne pas sauvegarder les changements	Ne pas sauvegarder les changements	Ikke lagre Endringer	不要保存更改		Не сохранять изменения			Jangan Simpan Perubahan	Να μην αποθηκευθούν οι αλλαγές		Não Guardar Alterações	Não salvar as alterações	لا تحفظ التغييرات	Gem ikke ændringer	Kaydetme			Non salvare i cambiamenti			dummy
1303	Done		Terminado	Terminado	Fertig	Klaar		Terminé	Terminé				Выполнено				Έγινε		Efectuado	Feito	تم	Færdig	Bitti			Fatto			dummy
1304	Done with:	Klar med:	Hecho con:	Hecho con:	Fertig mit:	Gedaan met:		Effectué avec:	Effectué avec:	Ferdig Med:	完成：		Выполнено с:			Dilakukan dengan:	Έγινε με: 		Efectuado com:	Feito com:	تم بواسطة	Klar med:	Biten işlem:						dummy
1305	Done.  Will now send download.		Terminado. Ahora se enviará la descarga	Terminado. Ahora se enviará la descarga	Fertig. Download erfolgt jetzt.	Klaar. Download wordt verstuurd		Terminé. Envoi du téléchargement	Terminé. Envoi du téléchargement								Έγινε. Θα σταλεί τώρα το download.		Efectuado. A enviar descarga.	Feito. Agora enviará o download.	تم، سيتم الإرسال	Færdig. Sender nu download	Bitti. Şimdi indire gönderilecek			Fatto. Ora verrà inviato il download.			dummy
1306	DOS	DOS	DOS	DOS	DOS	DOS					司					DOS	Ημερομ. Εξέτασης		DOS	DOS		DOS	Ameliyat Tarihi						dummy
